display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"Bank BCA, Jalan Kerajinan, RW 08, Keagungan, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11130, Indonesia",bank,-6.15331835,106.8170071227582,Jalan Kerajinan,11130,BANK BCA,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Barat
"Bank BCA, Gang Setia Masa IV, RW 01, Duri Selatan, Tambora, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11270, Indonesia",bank,-6.1574088499999995,106.80595466894542,Gang Setia Masa IV,11270,BANK BCA,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Barat
"BANK BCA, Jalan Soekarno-Hatta, Sekejati, Buahbatu, Bandung, Jawa Barat, Jawa, 40286, Indonesia",bank,-6.9409,107.6582755,Jalan Soekarno-Hatta,40286,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Jalan Kembar I, Cigereleng, Regol, Bandung, Jawa Barat, 40253, Indonesia",bank,-6.94492095,107.608502,Jalan Kembar I,40253,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Jalan Sukarame II, Cicaheum, Kiaracondong, Bandung, Jawa Barat, Jawa, 40125, Indonesia",bank,-6.9063919,107.64849073705824,Jalan Sukarame II,40125,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Jalan Terusan Jakarta, Cicaheum, Kiaracondong, Bandung, Jawa Barat, 40125, Indonesia",bank,-6.91193345,107.65014551778033,Jalan Terusan Jakarta,40125,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Jalan Jamika, Jamika, Bojongloa Kaler, Bandung, Jawa Barat, 40182, Indonesia",bank,-6.9204738500000005,107.58650674908452,Jalan Jamika,40182,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Kapten A. Rivai, Ilir Timur I, Palembang, Sumatera Selatan, Sumatera, 30135, Indonesia",bank,-2.9783142,104.7486024,Kapten A. Rivai,30135,BANK BCA,Indonesia,Sumatera Selatan,Palembang
"Bank BCA, Jalan Masjid Lama, RW 01 Kelurahan 17 Ilir, Kec Ilir Timur 1, Ilir Timur I, Palembang, Sumatera Selatan, 30124, Indonesia",bank,-2.98716845,104.7628559109846,Jalan Masjid Lama,30124,BANK BCA,Indonesia,Sumatera Selatan,Palembang
"Bank BCA, Jalan Bypass, Kubu Marapalam, Padang, Sumatera Barat, 25155, Indonesia",bank,-0.95471845,100.40195219561289,Jalan Bypass,25155,BANK BCA,Indonesia,Sumatera Barat,Padang
"Bank BCA, 66, Jalan Haji Oemar Said Tjokroaminoto, Pasirkaliki, Cicendo, Bandung, Jawa Barat, Jawa, 40171, Indonesia",bank,-6.9108316,107.5979708,Jalan Haji Oemar Said Tjokroaminoto,40171,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Jalan Bypass, Kubu Marapalam, Padang, Sumatera Barat, 25155, Indonesia",bank,-0.95471845,100.40195219561289,Jalan Bypass,25155,BANK BCA,Indonesia,Sumatera Barat,Padang
"Bank BCA, City Walk, Kauman, Surakarta, Kecamatan Pasar Kliwon, Jawa Tengah, Jawa, 57133, Indonesia",bank,-7.5728112,110.828358757545,City Walk,57133,BANK BCA,Indonesia,Jawa Tengah,Kecamatan Pasar Kliwon
"Bank BCA, Jalan Jatimulya, Bumi Suzuki Permai, Narogong, Kota Bekasi, Jawa Barat, Jawa, 17115, Indonesia",bank,-6.2760199,107.0163913,Jalan Jatimulya,17115,BANK BCA,Indonesia,Jawa Barat,Kota Bekasi
"Bank BCA, Jalan Haji Mukhir, Pasir Gunung Selatan, Depok, Bogor, Jawa Barat, Jawa, 16941, Indonesia",bank,-6.35494165,106.8398219957908,Jalan Haji Mukhir,16941,BANK BCA,Indonesia,Jawa Barat,Bogor
"Bank BCA, Jalan Sulawesi, Pattunuang, Wajo, Makassar, Sulawesi Selatan, 90173, Indonesia",bank,-5.131076999999999,119.40687424999999,Jalan Sulawesi,90173,BANK BCA,Indonesia,Sulawesi Selatan,Makassar
"Bank BCA, Jalan Andi Mappanyukki, Kunjung Mae, Mariso, Makassar, Sulawesi Selatan, 90230, Indonesia",bank,-5.15189325,119.4145018173324,Jalan Andi Mappanyukki,90230,BANK BCA,Indonesia,Sulawesi Selatan,Makassar
"Bank BCA, Jalan Ahmad Yani, Sukaasih, Tangerang, Banten, 15112, Indonesia",bank,-6.1734937,106.6350033,Jalan Ahmad Yani,15112,BANK BCA,Indonesia,Banten,Tangerang
"Bank BCA, Jalan Boulevard Barat, RW 07, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14240, Indonesia",bank,-6.1573275,106.90054,Jalan Boulevard Barat,14240,BANK BCA,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Utara
"Bank BCA, Jalan Abdul Haris Nasution, Pakemitan, Cinambo, Bandung, Jawa Barat, 40614, Indonesia",bank,-6.9142981,107.6984558,Jalan Abdul Haris Nasution,40614,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Sumber Sari, Babakan, Babakan Ciparay, Bandung, Jawa Barat, 40212, Indonesia",bank,-6.9327047,107.5756835,Sumber Sari,40212,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Jalan Sapari, Cibadak, Astanaanyar, Bandung, Jawa Barat, Jawa, 40232, Indonesia",bank,-6.9251138,107.59905914999999,Jalan Sapari,40232,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Jalan Peta, Sukaasih, Bojongloa Kaler, Bandung, Jawa Barat, 40232, Indonesia",bank,-6.93329385,107.59002245813966,Jalan Peta,40232,BANK BCA,Indonesia,Jawa Barat,Bandung
"Bank BCA, Jalan Brigjen Katamso, Kampung Baru, Medan Maimun, Kota Medan, Sumatera Utara, 20217, Indonesia",bank,3.5505874,98.6883576,Jalan Brigjen Katamso,20217,BANK BCA,Indonesia,Sumatera Utara,Kota Medan
"Bank BCA, Jalan Raya Lintas Barat Sumatra, Birugo, Bukittinggi, Sumatera Barat, 26115, Indonesia",bank,-0.3035539,100.3691971,Jalan Raya Lintas Barat Sumatra,26115,BANK BCA,Indonesia,Sumatera Barat,Bukittinggi
"Bank BCA, Jalan Raya Cimahi, Padasuka, Cimahi, Jawa Barat, Jawa, 40513, Indonesia",bank,-6.8748881,107.5437491,Jalan Raya Cimahi,40513,BANK BCA,Indonesia,Jawa Barat,Cimahi
"Bank BCA, Jalan Cabe Raya, Ruko Pondok Cabe Mutiara (Gaplek), Pondok Cabe Udik, Pamulang, Tangerang Selatan, Banten, 15418, Indonesia",bank,-6.3470249,106.750314,Jalan Cabe Raya,15418,BANK BCA,Indonesia,Banten,Tangerang Selatan
"BANK BCA, Jalan Trikora Wosi, Manokwari, Papua Barat, 98311, Indonesia",bank,-0.8662573499999999,134.046309530532,Jalan Trikora Wosi,98311,BANK BCA,Indonesia,Papua Barat,Manokwari
"Bank BCA, Jalan Kartini, Wenang Utara, Manado, Sulawesi Utara, 95111, Indonesia",bank,1.4885579,124.83859845,Jalan Kartini,95111,BANK BCA,Indonesia,Sulawesi Utara,Manado
"Bank BCA, K.H. Wahid Hasyim I, Sempaja Selatan, Samarinda, Kalimantan Timur, Kalimantan, 75123, Indonesia",bank,-0.45944419999999997,117.15017614366063,K.H. Wahid Hasyim I,75123,BANK BCA,Indonesia,Kalimantan Timur,Samarinda
"BANK BCA, Bung Tomo, Baqa, Samarinda, Kalimantan Timur, 75116, Indonesia",bank,-0.5117587,117.1343668,Bung Tomo,75116,BANK BCA,Indonesia,Kalimantan Timur,Samarinda
"Bank BCA, Jalan Perintis Kemerdekaan, Daya, Biringkanaya, Makassar, Sulawesi Selatan, 90242, Indonesia",bank,-5.1018859,119.51089354999999,Jalan Perintis Kemerdekaan,90242,BANK BCA,Indonesia,Sulawesi Selatan,Makassar
"BANK BCA, Jalan Pasar Ikan, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, 90171, Indonesia",bank,-5.1364466,119.4053386,Jalan Pasar Ikan,90171,BANK BCA,Indonesia,Sulawesi Selatan,Makassar
"Bank BCA, Jalan Veteran Utara, Lariang Bangi, Makassar, Sulawesi Selatan, 90144, Indonesia",bank,-5.136596900000001,119.422333375,Jalan Veteran Utara,90144,BANK BCA,Indonesia,Sulawesi Selatan,Makassar
"Bank BCA, Jalan Ahmad Yani 2, Pattunuang, Wajo, Makassar, Sulawesi Selatan, 90115, Indonesia",bank,-5.13248425,119.41092516116807,Jalan Ahmad Yani 2,90115,BANK BCA,Indonesia,Sulawesi Selatan,Makassar
"Bank BCA, Jalan Pasar Ikan, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, 90171, Indonesia",bank,-5.1366246,119.40541089418915,Jalan Pasar Ikan,90171,BANK BCA,Indonesia,Sulawesi Selatan,Makassar
"Bank BCA, Jalan Nursiwa, Lingk. Karang Wanesara, Kel. Cakranegara Barat, Cakranegara Utara, Mataram, Kec. Cakranegara, Nusa Tenggara Barat, 83239, Indonesia",bank,-8.5873011,116.1261086,Jalan Nursiwa,83239,BANK BCA,Indonesia,Nusa Tenggara Barat,Kec. Cakranegara
"Bank BCA, Jalan Raya Kuta, Tuban, Kuta, Badung, Bali, 80361, Indonesia",bank,-8.7246447,115.1768467,Jalan Raya Kuta,80361,BANK BCA,Indonesia,Bali,Badung
