display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"Bank BNI, Jalan Garuda, RW 05, Gunung Sahari Selatan, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10620, Indonesia",bank,-6.16148075,106.84496185643393,Jalan Garuda,10620,BANK BNI,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Pusat
"Bank BNI, Gang Secang, RW 05, Utan Kayu Utara, Matraman, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13120, Indonesia",bank,-6.19386125,106.86833208904349,Gang Secang,13120,BANK BNI,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Timur
"Bank BNI, Jalan Jenderal Ahmad Yani, Padasuka, Cibeunying Kidul, Bandung, Jawa Barat, Jawa, 40125, Indonesia",bank,-6.90500545,107.64940570644026,Jalan Jenderal Ahmad Yani,40125,BANK BNI,Indonesia,Jawa Barat,Bandung
"Bank BNI, Jalan Jendral Sudirman, Ciroyom, Andir, Bandung, Jawa Barat, 40172, Indonesia",bank,-6.919909649999999,107.5924772537994,Jalan Jendral Sudirman,40172,BANK BNI,Indonesia,Jawa Barat,Bandung
"Bank BNI, Jalan Siaran, Perumahan Pusri Sako, Sako, Palembang, Sumatera Selatan, 30163, Indonesia",bank,-2.9305621,104.7900602,Jalan Siaran,30163,BANK BNI,Indonesia,Sumatera Selatan,Palembang
"Bank BNI, Jalan Bundo Kanduang, Belakang Tangsi, Padang, Sumatera Barat, 25119, Indonesia",bank,-0.95480995,100.35946135729404,Jalan Bundo Kanduang,25119,BANK BNI,Indonesia,Sumatera Barat,Padang
"Bank BNI, Jalan Kolonel Sugiono, Gadang, Kota Malang, Jawa Timur, Jawa, 65148, Indonesia",bank,-8.019023,112.6282407,Jalan Kolonel Sugiono,65148,BANK BNI,Indonesia,Jawa Timur,Kota Malang
"Bank BNI, Dotulolong Lasut, Calaca, Manado, Sulawesi Utara, 95122, Indonesia",bank,1.4916908,124.84075957675694,Dotulolong Lasut,95122,BANK BNI,Indonesia,Sulawesi Utara,Manado
"Bank BNI, Jalan Sawangan Raya, Mampang, Pancoran Mas, Depok, Bogor, Jawa Barat, Jawa, 16437, Indonesia",bank,-6.3947577,106.7942891,Jalan Sawangan Raya,16437,BANK BNI,Indonesia,Jawa Barat,Bogor
"Bank BNI, Jalan Terusan Profesor Dokter Sutami, Sarijadi, Sukasari, Bandung, Jawa Barat, Jawa, 40151, Indonesia",bank,-6.8815117,107.581158,Jalan Terusan Profesor Dokter Sutami,40151,BANK BNI,Indonesia,Jawa Barat,Bandung
"Bank BNI, Jalan Coaster, RW 14, Tanjungmas, Semarang Utara, Semarang, Jawa Tengah, Jawa, 50174, Indonesia",bank,-6.9483172,110.4273277,Jalan Coaster,50174,BANK BNI,Indonesia,Jawa Tengah,Semarang
"Bank BNI, Jalan Sawangan Raya, Mampang, Pancoran Mas, Depok, Bogor, Jawa Barat, Jawa, 16437, Indonesia",bank,-6.3947577,106.7942891,Jalan Sawangan Raya,16437,BANK BNI,Indonesia,Jawa Barat,Bogor
"Bank BNI, Grand Wisata, Celebration Boulevard, Grand Wisata Residence, Lambangsari, Kabupaten Bekasi, Jawa Barat, 17510, Indonesia",bank,-6.2916873,107.0444892,Grand Wisata,17510,BANK BNI,Indonesia,Jawa Barat,Kabupaten Bekasi
"Bank BNI, Jalan Soko - Rengel, Rengel, Tuban, Jawa Timur, 62371, Indonesia",bank,-7.062932699999999,112.00228089018006,Jalan Soko - Rengel,62371,BANK BNI,Indonesia,Jawa Timur,Tuban
"Bank BNI, Jalan Pemuda, Birugo, Bukittinggi, Sumatera Barat, 26116, Indonesia",bank,-0.3062937,100.3702208,Jalan Pemuda,26116,BANK BNI,Indonesia,Sumatera Barat,Bukittinggi
"Bank BNI, Jalan Jenderal Sudirman, Pancuran, Kutowinangun Lor, Salatiga, Jawa Tengah, Jawa, 50742, Indonesia",bank,-7.32538765,110.50517806973684,Jalan Jenderal Sudirman,50742,BANK BNI,Indonesia,Jawa Tengah,Salatiga
