display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"Bank BRI, Jalan Angkasa Raya, RW 10, Gunung Sahari Selatan, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10610, Indonesia",bank,-6.1579232,106.8428513,Jalan Angkasa Raya,10610,BANK BRI,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Pusat
"Bank bri, Jalan Cihampelas, Hegarmanah, Cidadap, Bandung, Jawa Barat, 40131, Indonesia",bank,-6.88398355,107.60448640000001,Jalan Cihampelas,40131,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Ahmad Yani, Kesawan, Medan Barat, Kota Medan, Sumatera Utara, Sumatera, 20212, Indonesia",bank,3.5851583,98.6801997,Jalan Ahmad Yani,20212,BANK BRI,Indonesia,Sumatera Utara,Kota Medan
"Bank BRI, Jalan Siaran, Perumahan Pusri Sako, Sako, Palembang, Sumatera Selatan, 30163, Indonesia",bank,-2.9306482,104.7899397,Jalan Siaran,30163,BANK BRI,Indonesia,Sumatera Selatan,Palembang
"Bank BRI, Jalan Ahmad Yani, Kesawan, Medan Barat, Kota Medan, Sumatera Utara, Sumatera, 20212, Indonesia",bank,3.5851583,98.6801997,Jalan Ahmad Yani,20212,BANK BRI,Indonesia,Sumatera Utara,Kota Medan
"Bank BRI, Jalan Sungai Bong, Belakang Tangsi, Padang, Sumatera Barat, 25119, Indonesia",bank,-0.9558681,100.36156700000001,Jalan Sungai Bong,25119,BANK BRI,Indonesia,Sumatera Barat,Padang
"Bank BRI, Jalan Dr. M. Hatta, Andalas, Padang, Sumatera Barat, 25176, Indonesia",bank,-0.9361232,100.3918382,Jalan Dr. M. Hatta,25176,BANK BRI,Indonesia,Sumatera Barat,Padang
"Bank BRI, Jalan Pattimura, Klojen, Kota Malang, Jawa Timur, 65111, Indonesia",bank,-7.97320375,112.63778108382259,Jalan Pattimura,65111,BANK BRI,Indonesia,Jawa Timur,Kota Malang
"Bank BRI, Jalan Jenderal Ahmad Yani, Padasuka, Cibeunying Kidul, Bandung, Jawa Barat, 40125, Indonesia",bank,-6.90751805,107.64505634079295,Jalan Jenderal Ahmad Yani,40125,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Lorong Kelinci, Lam Glumpang, Ulee Kareng, Banda Aceh, Aceh, 23118, Indonesia",bank,5.551436799999999,95.35310057555483,Lorong Kelinci,23118,BANK BRI,Indonesia,Aceh,Banda Aceh
"Bank BRI, Jalan Timor Raya, Kec. Kelapa Lima, Oesapa, Kupang, Nusa Tenggara Timur, Nusa Tenggara, 85228, Indonesia",bank,-10.1480547,123.6513242,Jalan Timor Raya,85228,BANK BRI,Indonesia,Nusa Tenggara,Nusa Tenggara Timur
"Bank BRI, Karimun Jawa Mangrove Tracking, Legon Nipah, Jepara, Jawa Tengah, Jawa, 59455, Indonesia",bank,-5.8274709,110.4700624,Karimun Jawa Mangrove Tracking,59455,BANK BRI,Indonesia,Jawa Tengah,Jepara
"Bank BRI, Jalan Jambu Mente, SORONG, Klaligi, Sorong, Papua Barat Daya, 98411, Indonesia",bank,-0.88015545,131.26674602128855,Jalan Jambu Mente,98411,BANK BRI,Indonesia,Papua Barat Daya,Sorong
"Bank BRI, Jalan Yos Sudarso, SORONG, Rufei, Sorong, Papua Barat Daya, 98411, Indonesia",bank,-0.8647027,131.2465713,Jalan Yos Sudarso,98411,BANK BRI,Indonesia,Papua Barat Daya,Sorong
"Bank BRI, Jalan Selat Makasar, SORONG, Klagete, Sorong, Papua Barat Daya, 98412, Indonesia",bank,-0.889119,131.2841982478813,Jalan Selat Makasar,98412,BANK BRI,Indonesia,Papua Barat Daya,Sorong
"Bank BRI, Jalan Stadion, Bandar Baru, Kuta Alam, Banda Aceh, Aceh, 23122, Indonesia",bank,5.5634102,95.33991367291713,Jalan Stadion,23122,BANK BRI,Indonesia,Aceh,Banda Aceh
"Bank BRI, Jalan Dokter Wahidin Sudirohusodo, Ende, Wajo, Makassar, Sulawesi Selatan, 90174, Indonesia",bank,-5.12872275,119.4125612,Jalan Dokter Wahidin Sudirohusodo,90174,BANK BRI,Indonesia,Sulawesi Selatan,Makassar
"Bank BRI, Jalan Kujali, Bandanaira, Kepulauan Banda, Maluku Tengah, Maluku, 97593, Indonesia",bank,-4.5279358,129.8961934,Jalan Kujali,97593,BANK BRI,Indonesia,Maluku,Maluku Tengah
"Bank BRI, Jalan Jendral Sudirman, Ciklapa, Cilacap, Jawa Tengah, Jawa, 53261, Indonesia",bank,-7.4861182,108.8022304,Jalan Jendral Sudirman,53261,BANK BRI,Indonesia,Jawa Tengah,Cilacap
"Bank BRI, Jalan Yos Sudarso, RW 01 Desa Sidareja, Ciklapa, Cilacap, Jawa Tengah, 53261, Indonesia",bank,-7.4861978,108.79185269999999,Jalan Yos Sudarso,53261,BANK BRI,Indonesia,Jawa Tengah,Cilacap
"Bank BRI, Jalan Merdeka, Pangandaran, Jawa Barat, Jawa, 46396, Indonesia",bank,-7.6840195,108.6524107,Jalan Merdeka,46396,BANK BRI,Indonesia,Jawa Barat,Pangandaran
"Bank BRI, Jalan Raya Cijulang, Dusun Kalenwadas, Desa Cijulang, Pangandaran, Jawa Barat, Jawa, 46394, Indonesia",bank,-7.7279933,108.4735533,Jalan Raya Cijulang,46394,BANK BRI,Indonesia,Jawa Barat,Pangandaran
"Bank BRI, Jalan Jendral Gatot Subroto, Nganjuk, Jawa Timur, 64414, Indonesia",bank,-7.5989913,111.89888856178426,Jalan Jendral Gatot Subroto,64414,BANK BRI,Indonesia,Jawa Timur,Nganjuk
"Bank BRI, Jalan Abimanyu, Demangan, Gondokusuman, Catur Tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta, 55221, Indonesia",bank,-7.78254905,110.3910807,Jalan Abimanyu,55221,BANK BRI,Indonesia,Daerah Istimewa Yogyakarta,Sleman
"Bank BRI, Jalan Kyai Haji Wahid Hasyim, Panjunan, Astanaanyar, Bandung, Jawa Barat, Jawa, 40232, Indonesia",bank,-6.9307906,107.59737116996024,Jalan Kyai Haji Wahid Hasyim,40232,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Penghulu Haji Hasan Mustopa, Padasuka, Cibeunying Kidul, Bandung, Jawa Barat, Jawa, 40125, Indonesia",bank,-6.9006635,107.64529945,Jalan Penghulu Haji Hasan Mustopa,40125,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Raya Pajajaran, Bogor Tengah, Bogor, Jawa Barat, Jawa, 16129, Indonesia",bank,-6.5942436,106.80492715,Jalan Raya Pajajaran,16129,BANK BRI,Indonesia,Jawa Barat,Bogor
"Bank BRI, Jalan Raya Bogor, Nanggewer Mekar, Cibinong, Bogor, Jawa Barat, 16915, Indonesia",bank,-6.49157375,106.8466316257288,Jalan Raya Bogor,16915,BANK BRI,Indonesia,Jawa Barat,Bogor
"Bank BRI, Jalan Gunung Batukaru, Pemecutan, Denpasar Barat, Bali, 80118, Indonesia",bank,-8.6599162,115.2018663,Jalan Gunung Batukaru,80118,BANK BRI,Indonesia,Bali,Denpasar Barat
"Bank BRI, Jalan Ngemplak-Pakem, Sukoharjo, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55584, Indonesia",bank,-7.6977185,110.4423855,Jalan Ngemplak-Pakem,55584,BANK BRI,Indonesia,Daerah Istimewa Yogyakarta,Sleman
"Bank BRI, 48, Jalan Thamrin, Pemecutan, Denpasar Barat, Bali, 80232, Indonesia",bank,-8.6556644,115.210429,Jalan Thamrin,80232,BANK BRI,Indonesia,Bali,Denpasar Barat
"Bank BRI, Jalan Gajah Mada, Dauh Puri Kangin, Denpasar Barat, Bali, 80232, Indonesia",bank,-8.6561348,115.2152902048077,Jalan Gajah Mada,80232,BANK BRI,Indonesia,Bali,Denpasar Barat
"Bank BRI, Jalan Raya Tatehe, RT 08 Kelurahan Sawang Bendar, Apeng Sembeka, Kelurahan Sawang Bendar, Kepulauan Sangihe, Sulawesi Utara, Indonesia",bank,3.6092487,125.4923064460399,Jalan Raya Tatehe,0,BANK BRI,Indonesia,Kepulauan Sangihe,Kelurahan Sawang Bendar
"Bank BRI, Jalan Dokter Setiabudi, Hegarmanah, Cidadap, Bandung, Jawa Barat, Jawa, 40153, Indonesia",bank,-6.8721205,107.594688,Jalan Dokter Setiabudi,40153,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Laksda Adi Sucipto, Purwodadi, Kota Malang, Jawa Timur, Jawa, 65126, Indonesia",bank,-7.9434533,112.6478205,Jalan Laksda Adi Sucipto,65126,BANK BRI,Indonesia,Jawa Timur,Kota Malang
"Bank BRI, Jalan Nusantara Raya, Depok Jaya, Pancoran Mas, Depok, Bogor, Jawa Barat, Jawa, 16422, Indonesia",bank,-6.3903115,106.8142847,Jalan Nusantara Raya,16422,BANK BRI,Indonesia,Jawa Barat,Bogor
"BANK BRI, 21, Kamal, Bangkalan, Jawa Timur, 60165, Indonesia",bank,-7.1724929,112.72432865304913,Kamal,60165,BANK BRI,Indonesia,Jawa Timur,Bangkalan
"Bank BRI, Pakisjajar - Tumpang, Saptorenggo, Kabupaten Malang, Jawa Timur, Jawa, 65124, Indonesia",bank,-7.9502648,112.6654553,Pakisjajar - Tumpang,65124,BANK BRI,Indonesia,Jawa Timur,Kabupaten Malang
"Bank BRI, Jalan Imam Bonjol, Pemecutan Kelod, Denpasar Barat, Bali, Nusa Tenggara, 80119, Indonesia",bank,-8.6916429,115.18944288094525,Jalan Imam Bonjol,80119,BANK BRI,Indonesia,Nusa Tenggara,Bali
"Bank BRI, Jalan Bantul, Balai Benih Ikan Lambao, Panggungharjo, Sewon, Bantul, Daerah Istimewa Yogyakarta, 55188, Indonesia",bank,-7.8332802,110.3535595,Jalan Bantul,55188,BANK BRI,Indonesia,Daerah Istimewa Yogyakarta,Bantul
"Bank BRI, Jalan Karangrejo Raya, RW 07, Srondol Wetan, Banyumanik, Semarang, Jawa Tengah, Jawa, 50265, Indonesia",bank,-7.0744938,110.415245,Jalan Karangrejo Raya,50265,BANK BRI,Indonesia,Jawa Tengah,Semarang
"Bank BRI, Jalan Brigadir Jenderal Sudiarto, RW 01, Penggaron Kidul, Pedurungan, Semarang, Jawa Tengah, Jawa, 50193, Indonesia",bank,-7.0166141,110.48709321235046,Jalan Brigadir Jenderal Sudiarto,50193,BANK BRI,Indonesia,Jawa Tengah,Semarang
"Bank BRI, Jalan Brigadir Jenderal Sudiarto, RW 05, Pedurungan Lor, Pedurungan, Semarang, Jawa Tengah, Jawa, 50193, Indonesia",bank,-7.0156962499999995,110.48471545000001,Jalan Brigadir Jenderal Sudiarto,50193,BANK BRI,Indonesia,Jawa Tengah,Semarang
"Bank BRI, Jalan Adi Sucipto, Colomadu, Karanganyar, Jawa Tengah, Jawa, 57173, Indonesia",bank,-7.53299595,110.75127303035518,Jalan Adi Sucipto,57173,BANK BRI,Indonesia,Jawa Tengah,Karanganyar
"Bank BRI, Jalan Brigadir Jenderal Slamet Riyadi, Jayengan, Surakarta, Kecamatan Serengan, Jawa Tengah, Jawa, 57131, Indonesia",bank,-7.5674836,110.8148104,Jalan Brigadir Jenderal Slamet Riyadi,57131,BANK BRI,Indonesia,Jawa Tengah,Kecamatan Serengan
"Bank BRI, Jalan Adi Sucipto, Colomadu, Karanganyar, Jawa Tengah, Jawa, 57173, Indonesia",bank,-7.5331077,110.7512568,Jalan Adi Sucipto,57173,BANK BRI,Indonesia,Jawa Tengah,Karanganyar
"Bank BRI, Jalan Raya Solo - Ngawi, Masaran, Sragen, Jawa Tengah, Jawa, Indonesia",bank,-7.4720608,110.9284787,Jalan Raya Solo - Ngawi,Jawa,BANK BRI,Indonesia,Jawa Tengah,Sragen
"Bank BRI, Jalan Ambarwati No. 1, Mas, Ubud, Gianyar, Bali, 80571, Indonesia",bank,-8.5425748,115.2720551,Jalan Ambarwati No. 1,80571,BANK BRI,Indonesia,Bali,Gianyar
"Bank BRI, Jalan Petitenget, Kerobokan Klod, Badung, Bali, 08361, Indonesia",bank,-8.6718783,115.1643034,Jalan Petitenget,08361,BANK BRI,Indonesia,Bali,Badung
"Bank BRI, Jalan Otto Iskandardinata, Pungkur, Regol, Bandung, Jawa Barat, 40252, Indonesia",bank,-6.93083015,107.60359167622549,Jalan Otto Iskandardinata,40252,BANK BRI,Indonesia,Jawa Barat,Bandung
"Bank BRI, Jalan Raya Tuban - Palang, Karangagung Timur, Karangagung, Palang, Tuban, Jawa Timur, Jawa, 62391, Indonesia",bank,-6.9004434,112.1691913,Jalan Raya Tuban - Palang,62391,BANK BRI,Indonesia,Jawa Timur,Tuban
"Bank BRI, Jalan Diponegoro, Kutoarjo, Purworejo, Jawa Tengah, Jawa, 54212, Indonesia",bank,-7.7234277,109.9059755,Jalan Diponegoro,54212,BANK BRI,Indonesia,Jawa Tengah,Purworejo
"Bank BRI, Jalan Rajawali, Sampang, Jawa Timur, 69211, Indonesia",bank,-7.1984548,113.24276161375377,Jalan Rajawali,69211,BANK BRI,Indonesia,Jawa Timur,Sampang
"BANK BRI, JI-230, Madulang, Sampang, Jawa Timur, Indonesia",bank,-7.11720365,113.3275295,Madulang,0,BANK BRI,Indonesia,Jawa Timur,Sampang
"BANK BRI, Jalan KH. Wahid Hasyim, Sampang, Jawa Timur, 69211, Indonesia",bank,-7.18897705,113.24433034282983,Jalan KH. Wahid Hasyim,69211,BANK BRI,Indonesia,Jawa Timur,Sampang
"Bank BRI, Gang Dahlia III, Banjarangkan, Klungkung, Bali, 80716, Indonesia",bank,-8.550680849999999,115.37366249780118,Gang Dahlia III,80716,BANK BRI,Indonesia,Bali,Klungkung
"Bank BRI, Gang Bri, Syahmad, Lubuk Pakam, Deli Serdang, Sumatera Utara, Indonesia",bank,3.55365645,98.87246600167067,Gang Bri,0,BANK BRI,Indonesia,Deli Serdang,Lubuk Pakam
