display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"HSBC, Jalan Hayam Wuruk, RW 08, Maphar, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11130, Indonesia",bank,-6.1526911,106.8178432,Jalan Hayam Wuruk,11130,HSBC,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Barat
"HSBC, Jalan Pluit Kencana, RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14440, Indonesia",bank,-6.1196465,106.7883982,Jalan Pluit Kencana,14440,HSBC,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Utara
"HSBC, Jalan Tanah Sereal VII, RW 13, Tanah Sereal, Tambora, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11270, Indonesia",bank,-6.1578921,106.8084366,Jalan Tanah Sereal VII,11270,HSBC,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Barat
"HSBC, Jalan Boulevard Barat, RW 07, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14240, Indonesia",bank,-6.1576188,106.9010429,Jalan Boulevard Barat,14240,HSBC,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Utara
"HSBC, Jalan Mayor Jenderal Jonosewojo, RW 02, Pradahkali Kendal, Dukuh Pakis, Surabaya, Jawa Timur, 60123, Indonesia",bank,-7.2875943,112.6790157,Jalan Mayor Jenderal Jonosewojo,60123,HSBC,Indonesia,Jawa Timur,Surabaya
"HSBC, Jalan Manyar Kertoarjo VI, RW 11, Mojo, Gubeng, Surabaya, Jawa Timur, 60116, Indonesia",bank,-7.27959815,112.76712465,Jalan Manyar Kertoarjo VI,60116,HSBC,Indonesia,Jawa Timur,Surabaya
"HSBC, Jalan Sukajadi, Gegerkalong, Sukajadi, Bandung, Jawa Barat, 40153, Indonesia",bank,-6.8783802,107.5964898,Jalan Sukajadi,40153,HSBC,Indonesia,Jawa Barat,Bandung
"HSBC, Jalan Insinyur Haji Juanda, Lebak Gede, Coblong, Bandung, Jawa Barat, Jawa, 40132, Indonesia",bank,-6.8971997,107.61329506005389,Jalan Insinyur Haji Juanda,40132,HSBC,Indonesia,Jawa Barat,Bandung
"HSBC, Jalan Diponegoro, Little India, Petisah, Medan Petisah, Kota Medan, Sumatera Utara, 20151, Indonesia",bank,3.5848422500000003,98.67325322305709,Jalan Diponegoro,20151,HSBC,Indonesia,Sumatera Utara,Kota Medan
"HSBC, Jalan Puri Kencana, RW 07, Kembangan Selatan, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11610, Indonesia",bank,-6.190703,106.7449258,Jalan Puri Kencana,11610,HSBC,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Barat
