display_name,type,lat,lon,alamat,zip,bank,country,provinsi,kota
"Maybank, Jalan Griya Utama, RW 20, Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 17705, Indonesia",bank,-6.1425816,106.8565679,Jalan Griya Utama,17705,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Utara
"Maybank, Jalan Angkasa Raya, RW 03, Gunung Sahari Selatan, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10610, Indonesia",bank,-6.15734955,106.84518004443518,Jalan Angkasa Raya,10610,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Pusat
"Maybank, Jalan Tampak Siring, RW 17, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11840, Indonesia",bank,-6.1485632,106.7137671,Jalan Tampak Siring,11840,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Barat
"Maybank, Jalan Bisma Raya, RW 19, Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14350, Indonesia",bank,-6.1334717,106.8657732,Jalan Bisma Raya,14350,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Utara
"Maybank, Jalan Podomoro Avenue, RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 11470, Indonesia",bank,-6.1757842,106.789881,Jalan Podomoro Avenue,11470,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Barat
"Maybank, Jalan Metro Pondok Indah, RW 14, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12310, Indonesia",bank,-6.284758500000001,106.780589325,Jalan Metro Pondok Indah,12310,MAYBANK,Indonesia,Daerah Khusus Ibukota Jakarta,Jakarta Selatan
"Maybank, Niaga Gapura Road, Citraland, Lidah Kulon, Lakarsantri, Surabaya, Jawa Timur, 60213, Indonesia",bank,-7.2916388,112.6547924,Niaga Gapura Road,60213,MAYBANK,Indonesia,Jawa Timur,Surabaya
"Maybank, Jalan Jenderal Ahmad Yani, Cicaheum, Kiaracondong, Bandung, Jawa Barat, Jawa, 40125, Indonesia",bank,-6.90537675,107.64995997826438,Jalan Jenderal Ahmad Yani,40125,MAYBANK,Indonesia,Jawa Barat,Bandung
"Maybank, Jalan Arif Rahman Hakim, Sukaramai, Medan Area, Kota Medan, Sumatera Utara, 20143, Indonesia",bank,3.5864412,98.7052743,Jalan Arif Rahman Hakim,20143,MAYBANK,Indonesia,Sumatera Utara,Kota Medan
"Maybank, Jalan Jenderal Sudirman, Terban, Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, 55223, Indonesia",bank,-7.7833080500000005,110.37339670403364,Jalan Jenderal Sudirman,55223,MAYBANK,Indonesia,Daerah Istimewa Yogyakarta,Kota Yogyakarta
